,job_title,job_domain,published,deadline,education,skills
30,Officer / Sr. Officer (IT & MIS),IT & Networking,19 Dec 2024,18 Jan 2025,"['Diploma in Engineering in Computer Science & Engineering, Bachelor of Science (BSc) in Computer Science & Engineering']","['Computer Hardware and Networking', 'Database Administrator (DBA)', 'ERP: SAP S4 HANA. Operating Systems: MS Windows and Linux. Lang', 'Hardware Engineer', 'Linex', 'Network Engineering']"
31,"Full-Stack Web Developer (Laravel, Node.js)",Web Development,19 Dec 2024,18 Jan 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Information Technology', 'Bachelor’s degree in Computer Science, Information Technology, or a related field (or equivalent practical experience).']","['AWS Cloud', 'DigitalOcean', 'Express (for Node.js)', 'Laravel and Vue.js', 'Laravel Framework', 'Linux server', 'PHP (Laravel)', 'React | Node JS | Javascript', 'React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git', 'React Native | NodeJS | HTML | CSS | JavaScript | Github | Git']"
32,Senior Software Engineer (Sr. Executive),Software Development,18 Dec 2024,17 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['ASP .NET', 'C#', 'Oracle APEX', 'Oracle SQL and PLSQL', 'PHP']"
33,Full-Stack Developer with MERN (Web and Mobile),Software Development,18 Dec 2024,17 Jan 2025,['Bachelor/Honors'],"['Full Stack Development', 'Mobile apps developer', 'UI and UX Design', 'Web Developer/ Web Designer']"
34,Program Developer,Software Development,19 Dec 2024,18 Jan 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],"['Android application development', 'API Implementation', 'Git Version Control System', 'Good Communication Skill (Bangla and English)', 'Problem Solving', 'UI/UX strategies']"
35,Software Support Engineer,Software Development,19 Dec 2024,18 Jan 2025,"['B.Sc in Computer Science & Engineering from a reputed university.', 'Master’s degree in Computer Science/Engineering from a reputed institution will be an added advantage.']",[]
36,Software Engineer (dJango),Software Development,19 Dec 2024,18 Jan 2025,"[""Bachelor’s/master's degree in Computer Science & Engineering""]",[]
37,Software Engineer (ReactJs),Software Development,19 Dec 2024,18 Jan 2025,[],[]
38,Senior Software Engineer,Software Development,19 Dec 2024,18 Jan 2025,['Bachelor/Honors'],"['django', 'Frappe framework', 'HTML', 'JavaScript', 'Python', 'RESTful API', 'SQL', 'VueJS']"
39,Social Media Marketing Executive,Digital Marketing,19 Dec 2024,18 Jan 2025,[],"['communication skill', 'Content Creation', 'Digital Marketing (Social Media Marketing)', 'Google analytics', 'Interpersonal Skills', 'Social Media Expert', 'Social Media Marketing', 'Vlogger Videographer']"
40,Executive - Security System,IT & Networking,19 Dec 2024,18 Jan 2025,"['Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science & Engineering']","['CC TV surveillance', 'Communication', 'Monitoring and Reporting', 'Problem Solving']"
41,Technical Support Engineer,Testing & Support,19 Dec 2024,18 Jan 2025,"['Bachelor of Science (BSc)', 'CCNA, Networking, MTCNA, MTCRE']",['CCNA (Cisco Certified Network Associate)']
42,WordPress Web Developer,Web Development,22 Dec 2024,19 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Elementor', 'Figma to HTML', 'HTML5 & CSS3', 'JavaScript', 'jQuery', 'PSD to Wordpress', 'Woocommerce Customization', 'WordPress', 'Wordpress Theme and Plugin Development']"
43,Software Engineer (ASP.NET/.NET Core),Software Development,19 Dec 2024,18 Jan 2025,"['Bachelor of Science (BSc) in Computer Science and Engineering', 'B.Sc. in Computer Science and Engineering or a related field.', 'Candidates from other academic backgrounds with proven expertise are encouraged to apply']","['.Net Core', 'Angular', 'ASP.NET Core', 'Azure Server', 'Bootstrap 5', 'C#', 'Data Structures', 'Git', 'JavaScript', 'jQuery']"
44,Web Designer,Design,19 Dec 2024,18 Jan 2025,['Bachelor / Diploma in Computer Science / Computer Engineering / Information Technology / Physics / Math from any reputed public or private university.'],[]
45,Digital Portfolio Creator,Digital Marketing,23 Dec 2024,18 Jan 2025,['Master of Information & Communication Technology (MICT)'],"['Call Support', 'Canva', 'Canva Pro', 'Capcut', 'fiverr', 'Graphic Design (Computer Aided)', 'Graphic Design and Digital Content Creation', 'International Call Center', 'IT Support Service', 'UpWork']"
46,Senior SEO Team Lead / Manager,Digital Marketing,19 Dec 2024,18 Jan 2025,"['Bachelor in Engineering (BEngg) in Computer Science & Engineering, Masters in Engineering (MEngg) in Computer Science & Engineering']","['Off Page SEO', 'On page SEO', 'Search Engine Optimization (SEO)', 'SEO and Google ads', 'Technical SEO']"
47,Senior Web Developer,Web Development,19 Dec 2024,17 Jan 2025,"['Bachelor/Honors, Diploma, Masters', 'Degree or Honors', 'BSc. in Computer Science Engineering will be preferred.']","['HTML & CSS', 'HTML5 & CSS3', 'jQuery', 'PHP', 'PHP (OOP)', 'Responsive Webdesign', 'WordPress', 'wordpress customization', 'WordPress Developer', 'wordpress theme development']"
48,Technician/Network specialist,IT & Networking,21 Dec 2024,19 Jan 2025,['Bachelor/Honors'],"['Internet Service Provider', 'Network Security']"
49,Sr. Software Engineer (Python),Software Development,22 Dec 2024,21 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Python (Django)', 'Python Programmer', 'Stock Exchange', 'Stock Market']"
50,Junior Business Analyst (Digital Marketing),Digital Marketing,21 Dec 2024,20 Jan 2025,[],"['ASP .NET', 'Good English communication skills (verbal and Written)', 'JavaScript', 'OOP Concept', 'PHP Laravel', 'SEO and Digital Marketing', 'SQA']"
51,"Programmer (.Net Core, Angular)",Software Development,21 Dec 2024,20 Jan 2025,"['Bachelor degree in any discipline in Computer Science & Engineering', 'Bachelor of Science (BSc) in Computer Science & Engineering, Or', 'Diploma in Computer Science & Engineering.', 'Training on .Net Core, Angular and SQL Server.']","['.ASP.NET', '.Net Core', '.Net Web Forms', 'Angular', 'C#', 'SQL Server']"
52,Jr. Application Specialist,Software Development,21 Dec 2024,20 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Client Support', 'Excellent English Writing and Speaking', 'Interaction with Clients', 'Proactive and Positive attitude', 'Quick Learning Ability', 'Quick Problem Solving', 'Requirement Analysis', 'Team Work Capability', 'Working under pressure']"
53,Full Stack Developer-(ASP.NET Core & Angular),Software Development,21 Dec 2024,20 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Angular', 'ASP.NET Core', 'Dotnet Core', 'RESTful API', 'SQL']"
54,C++ Developer,Software Development,22 Dec 2024,21 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor of Computer Science & Engineering']","['C++programing', 'English Communicatin Skill', 'Git Version Control System', 'Linux and windows environments', 'Microservice Architecture and Design Patterns', 'RESTful APIs', 'SQL', 'Unit Testing']"
55,"Backend Engineer JAVA, Spring Boot",Software Development,23 Dec 2024,20 Jan 2025,"['Bachelor/Honors', 'Bachelor’s or Master’s Degree in Computer Science, Software Engineering, or a related field.']",[]
56,Instructor / Trainer - Digital Marketing,Digital Marketing,22 Dec 2024,21 Jan 2025,"['Bachelor Degree in any discipline,', 'Master’s Degree in any discipline', 'Educational qualification can be unessential if you are expert.']","['Education and Training', 'Excellent communication and presentation skills', 'Teaching Experience']"
57,Asst. Manager (Business Development),Digital Marketing,22 Dec 2024,21 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['English Communicatin Skill', 'IT Product Sales', 'Share Market', 'Stock Exchange']"
58,React Native Developers  (German Based Software Company),Software Development,22 Dec 2024,13 Jan 2025,"['Diploma in Computer, Bachelor of Science (BSc), Master of Science (MSc)']","['Bootstrap', 'HTML5 & CSS3', 'JavaScript', 'React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git', 'React Application', 'React Native', 'React Native | NodeJS | HTML | CSS | JavaScript | Github | Git', 'react.js', 'ReactJS', 'Tailwind CSS']"
59,Full Stack PHP Laravel Developer,Software Development,23 Dec 2024,22 Jan 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],"['Creative Thinking and Multitasking', 'Good communication skills', 'Good presentation skill', 'Problem solving and decision making']"
60,UI/UX Designer,Design,23 Dec 2024,22 Jan 2025,"['Bachelor of Fine Arts (B.F.A) in Fine Arts, Bachelor of Computer Application (BCA)']","['Branding', 'Content writing', 'Creative Thinking', 'Fine arts', 'Graphics Design', 'Mobile UI', 'PSD to HTML', 'UI and UX Design', 'Web Templates']"
61,Data Artist (Associate) (Morning & Afternoon Shift),Data Analytics,23 Dec 2024,21 Jan 2025,"['Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electronics and Telecommunication Engineering, Bachelor of Science (BSc) in Statistics, Bachelor of Science (BSc) in Mathematics']","['Good communication skills.', 'Hard Working', 'MICROSOFT OFFICE', 'Patience']"
62,IT Officer,IT & Networking,23 Dec 2024,22 Jan 2025,"['Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science & Engineering']","['CCNA (Cisco Certified Network Associate)', 'Computer Hardware and Networking', 'MTCNA']"
63,Executive/ Sr. Executive -IT,IT & Networking,23 Dec 2024,21 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Email server', 'IT Support', 'Networking']"
64,Full-Stack Developer (PHP & React.js),Software Development,23 Dec 2024,22 Jan 2025,"[""Bachelor's degree in Computer Science & Engineering or equivalent.""]","['Communication', 'Laravel Framework', 'Leadership and teamwork', 'PHP', 'Soap API Integration']"
65,"Assistant Manager/Deputy Manager, MIS",IT & Networking,23 Dec 2024,22 Jan 2025,"['Bachelor/Honors, Masters', 'Advanced Excel Course/Training']","['Advance skill in Excel and Microsoft Office', 'Data Management and Analysis', 'Ensuring Delivery', 'Field Supervision', 'Invoice Processing', 'Leadership and Good Communication skill.', 'MIS Reporting', 'Reporting and Documentation', 'Stock Management', 'Time Management']"
66,"Executive, IT Business Development",IT & Networking,23 Dec 2024,21 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Business Administration (BBA) in Business Administration']","['Effective Business Communication Skill', 'International Business', 'Product Market Analysis', 'Supply Chain Management.', 'Technical Sales/ IT Marketing', 'training sales marketing', 'Website Management']"
67,Software Engineer,Software Development,23 Dec 2024,22 Jan 2025,['Bachelor/Honors'],"['CakePHP', 'Git', 'Laravel', 'Laravel Framework', 'MySQL', 'PHP', 'Python', 'ReactJS', 'REST API', 'WordPress']"
68,UX Designer,Design,23 Dec 2024,22 Jan 2025,"['Bachelor/Honors, Diploma, Masters']","['Adobe After Effects', 'Adobe illustrator', 'Adobe Photoshop', 'Canva Pro', 'Figma', 'Graphics Design', 'Mockup', 'Product design', 'Web Design', 'Wireframe']"
69,E-commerce  & Corporate Communications Manager,Digital Marketing,24 Dec 2024,23 Jan 2025,['Bachelor of Business Administration (BBA) in Marketing'],[]
70,Sr. Executive (IT),IT & Networking,27 Dec 2024,26 Jan 2025,"['Bachelor/Honors', ""A Master's degree (e.g., MBA with an IT focus)""]","['Computer Science/ Engineering', 'Information teachnology', 'IT Support Service']"
71,Software Project Lead,Software Development,24 Dec 2024,23 Jan 2025,"['Bachelor of Science (BSc) in Computer Science, Master of Science (MSc) in Computer Science', 'BSc/MSc degree in computer science or related technical field experience.']","['ERP Software Management', 'Software Developing', 'Software Development', 'Software Engineering', 'Software Implementation', 'Software Project Management', 'Website Design']"
72,Senior .Net Developer,Software Development,24 Dec 2024,23 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['.Net Core', '.Net Framework', 'AWS', 'Azure']"
73,Software Engineer (Android),Android Development,24 Dec 2024,23 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['Agile Scrum', 'Android', 'Android application development', 'Flutter', 'Flutter and Kotlin programming languages', 'Git', 'Github', 'Kotlin', 'MVVM', 'REST APIs']"
74,Software Engineer (.NET),Software Development,24 Dec 2024,15 Jan 2025,[],"['.ASP.NET', '.Net Framework', 'MVP', 'MVVM']"
75,WooCommerce Multi-Vendor E-Commerce Developer,Software Development,24 Dec 2024,15 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Ecommerce Development', 'MySQL', 'Woocommerce']"
76,Java Developer,Software Development,24 Dec 2024,23 Jan 2025,[],[]
77,UX Designer,Design,24 Dec 2024,23 Jan 2025,[],[]
78,Technical Writer,Design,24 Dec 2024,23 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Content writing', 'Good communication skills', 'Patience and Polite', 'Report Writing', 'Software development life cycle (SDLC)']"
79,Front-End Developer,Web Development,24 Dec 2024,23 Jan 2025,[],[]
80,Jr. Executive / Executive (IT),IT & Networking,24 Dec 2024,23 Jan 2025,"['Diploma in Computer', 'Diploma in Computer Science Technology.']",[]
81,Executive - Information Technology,IT & Networking,24 Dec 2024,20 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'CCNA, RHCE, MCSE']","['End User Support', 'Information technology', 'System Administration']"
82,Frontend Engineer (React.js),Web Development,24 Dec 2024,23 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Software Engineering from any reputed University.']","['.Net', 'Erp software', 'Vue.js']"
83,Flutter App Developer,Software Development,24 Dec 2024,23 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Software Engineering from any reputed University.']","['Flutter', 'Mobile App Development']"
84,"Executive/ Sr. Executive, IT",IT & Networking,24 Dec 2024,23 Jan 2025,"['Diploma in Computer, Bachelor of Science (BSc) in Computer Science & Engineering']","['IT Support Service and Network engineering.', 'LAN/ WAN', 'WIFI connectivity']"
85,"Software Engineer (Laravel, PHP & Tall Stack) - Dhaka Office Based",Software Development,24 Dec 2024,23 Jan 2025,['Bachelor of Computer Application (BCA)'],"['Laravel Development', 'PHP Programming', 'Tall Stack']"
86,Software Engineer/ Sr. Software Engineer,Software Development,26 Dec 2024,23 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['ASP.NET Core', 'ASP.NET Core MVC', 'C#', 'Crystal Report', 'HTML5', 'JavaScript', 'jQuery', 'Kendo UI', 'MS SQL Server']"
87,Clinical AI Specialist,Data Analytics,25 Dec 2024,23 Jan 2025,['Bachelor degree in any discipline'],"['Adaptibility', 'Attention to detail', 'Excellent English communication skills', 'Multitasking ability']"
88,Intern App Developer (Android & iOS),Android Development,24 Dec 2024,22 Jan 2025,['Bachelor of Science (BSc)'],[]
89,Junior Database Administrator (DBA),IT & Networking,25 Dec 2024,24 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Certifications: RHCSA (Red Hat Certified System Administrator) and OCA (Oracle Certified Associate).']","['Database Administration', 'Database Administrator (DBA)', 'MySQL', 'PostgreSQL']"
90,Deputy Manager / Manager - IT (Network & Support),IT & Networking,25 Dec 2024,24 Jan 2025,[],"['CCTV Maintaining', 'Cyber Security', 'IT Support Service', 'Linux server', 'Network Security', 'Windows Server']"
91,Digital Ads Specialist,Digital Marketing,25 Dec 2024,20 Jan 2025,"['Bachelor of Business Administration (BBA) in Marketing, Master of Business Administration (MBA) in Marketing']","['Digital Marketing', 'Google Ads', 'Linkedin marketing', 'Meta Markeeting', 'Tiktok ads', 'YouTube Marketing']"
92,Network Admin,IT & Networking,25 Dec 2024,24 Jan 2025,"['Bachelor of Science (BSc), Diploma', 'Relevant certifications (MTCRE, MCSE, JNCIA, JNCIS-SEC, CCNA, CCNP, CCIP, CCSP) are highly desirable (CISCO,BDCOM), OLTs (VSOL, BDCOM, C-DATA), and wireless devices are a must.']","['ISP', 'IT Enabled services']"
93,Software Engineer (PHP/MySQL/R/Laravel),Software Development,26 Dec 2024,25 Jan 2025,['B.E / B.Tech / B.Sc /MCA in Computer Science Engineering or a related subject.'],"['Laravel Framework', 'MVC', 'MySQL', 'PHP']"
94,Tech Lead,IT & Networking,26 Dec 2024,22 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['Android application development', 'Android SDK', 'Android Studio', 'APIs', 'Healthcare product', 'JAVA Android', 'Payment Gateway', 'Technical']"
95,Assistant Officer (IT),IT & Networking,26 Dec 2024,18 Jan 2025,['BSC in Computer Science & Engineering/ Computer Science/ Telecommunication Engineering or any IT related subject from a reputed university with good academic records (No 3rd class/ division will be allowed). Professional courses in relevant subjects will get added advantage.'],[]
96,Assistant Manager/Manager (MIS/IT),IT & Networking,26 Dec 2024,25 Jan 2025,"['Master of Information & Communication Technology (MICT), Masters in Information Systems Security (MISS) in Computer Science & Engineering']","['HTTP', 'IT Support Service', 'Microsoft SQL server', 'MSQL', 'Problem Solving Ability', 'TCIP', 'Web Developer/ Web Designer']"
97,Graphics Designer - Digital Marketing (Female),Digital Marketing,26 Dec 2024,25 Jan 2025,"['Diploma in Computer, Bachelor/Honors, Higher Secondary']","['Digital Marketing', 'Facebook campaign', 'Graphics Design']"
98,Full Stack Developer,Software Development,28 Dec 2024,26 Jan 2025,"['Bachelor of Computer Application (BCA), Bachelor in Engineering (BEngg), Diploma in Computer']","['API Development', 'API Implementation', 'AWSAzure Cloud Administration', 'Backend Development', 'Frontend Development (Web)', 'MySQL database', 'PHP Programming', 'React Native | NodeJS | HTML | CSS | JavaScript | Github | Git', 'SEO', 'UX and UI Designing']"
99,Executive / Senior Executive - Product Management,Project Management & Administration,28 Dec 2024,20 Jan 2025,"['Bachelor/Honors, Masters, Bachelor of Business Administration (BBA), Master of Business Administration (MBA)', 'Bachelor/Masters/BBA/MBA in any discipline.', 'BSc. in CSE/EEE get preference.']","['communication skill', 'Leadership', 'Negotiation Skill', 'Networking Product', 'Problem solving and analytical skill', 'Security surveillance', 'Teamwork']"
100,Executive/Senior Executive [System Integrator (SI-B2B) Sales],IT & Networking,29 Dec 2024,20 Jan 2025,"['Bachelor/Honors', 'Bachelor in Engineering (BEngg) in any discipline.', 'Candidates from CSE / EEE background get preference.']","['communication skill', 'Documentation and Reporting', 'Good presentation skill', 'IT product Knowledge', 'Leadership and teamwork', 'Negotiation Skill', 'Problem solving and decision making', 'Sales & Marketing']"
101,"Software Developer (.NET, C#, MSSQL)",Software Development,28 Dec 2024,27 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering / Physics / Math / Statistics'],"['.ASP.NET', 'ASP.NET WebAPI', 'C#', 'CSS', 'HTML5 & CSS3', 'JavaScript', 'jQuery', 'MS SQL My sql']"
102,Software Engineer,Software Development,28 Dec 2024,27 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Computer Engineering']","['Active Reports', 'ASP .NET MVC', 'ASP.NET Core', 'C#', 'Git Version Control System', 'Good knowledge on ASP.NET', 'JavaScript', 'JS JQuery AJAX', 'MSSQL; VB.NET', 'RDLC Reports']"
103,Jr. Executive (MIS),IT & Networking,28 Dec 2024,27 Jan 2025,['Bachelor of Science (BSc) in Textile Technology'],"['ERP Systems', 'Problem-Solving Ability', 'Strong analytical ability']"
